,National №,Type,Species,Height,Weight,Abilities,Local №
Ekans,023,Poison,Snake Pokémon,2.0 m (6′07″),6.9 kg (15.2 lbs),Intimidate Shed Skin Unnerve,023  050  023  050  037  061  023 
Arbok,024,Poison,Cobra Pokémon,3.5 m (11′06″),65.0 kg (143.3 lbs),Intimidate Shed Skin Unnerve,024  051  024  051  038  062  024 
Pikachu,025,Electric,Mouse Pokémon,0.4 m (1′04″),6.0 kg (13.2 lbs),Static Lightning Rod,025  022  156  025  104  104  022  036  163  025  032  025  194  025  022  156  025  104  104  022  036  163  025  032  025  194 
Raichu,026,Electric,Mouse Pokémon,0.8 m (2′07″) 0.7 m (2′04″),30.0 kg (66.1 lbs) 21.0 kg (46.3 lbs),Static Lightning Rod Surge Surfer,026  023  157  026  105  105  023  037  164  026  033  026  195  026  023  157  026  105  105  023  037  164  026  033  026  195 
Sandshrew,027,Ground Ice Steel,Mouse Pokémon,0.6 m (2′00″) 0.7 m (2′04″),12.0 kg (26.5 lbs) 40.0 kg (88.2 lbs),Sand Veil Sand Rush Snow Cloak Slush Rush,027  048  112  027  048  113  097  117  251  328  027  027  048  112  027  048  113  097  117  251  328  027 
Sandslash,028,Ground Ice Steel,Mouse Pokémon,1.0 m (3′03″) 1.2 m (3′11″),29.5 kg (65.0 lbs) 55.0 kg (121.3 lbs),Sand Veil Sand Rush Snow Cloak Slush Rush,028  049  113  028  049  114  098  118  252  329  028  028  049  113  028  049  114  098  118  252  329  028 
Nidoran♀,029,Poison,Poison Pin Pokémon,0.4 m (1′04″),7.0 kg (15.4 lbs),Poison Point Rivalry Hustle,029  095  029  095  104  029 
Nidorina,030,Poison,Poison Pin Pokémon,0.8 m (2′07″),20.0 kg (44.1 lbs),Poison Point Rivalry Hustle,030  096  030  096  105  030 
Nidoqueen,031,Poison Ground,Drill Pokémon,1.3 m (4′03″),60.0 kg (132.3 lbs),Poison Point Rivalry Sheer Force,031  097  031  097  106  031 
Nidoran♂,032,Poison,Poison Pin Pokémon,0.5 m (1′08″),9.0 kg (19.8 lbs),Poison Point Rivalry Hustle,032  098  032  098  107  032 
Nidorino,033,Poison,Poison Pin Pokémon,0.9 m (2′11″),19.5 kg (43.0 lbs),Poison Point Rivalry Hustle,033  099  033  099  108  033 
Nidoking,034,Poison Ground,Drill Pokémon,1.4 m (4′07″),62.0 kg (136.7 lbs),Poison Point Rivalry Sheer Force,034  100  034  100  109  034 
Clefairy,035,Fairy,Fairy Pokémon,0.6 m (2′00″),7.5 kg (16.5 lbs),Cute Charm Magic Guard Friend Guard,035  041  035  100  100  041  089  211  273  035  255 
Clefable,036,Fairy,Fairy Pokémon,1.3 m (4′03″),40.0 kg (88.2 lbs),Cute Charm Magic Guard Unaware,036  042  036  101  101  042  090  212  274  036  256 
Vulpix,037,Fire Ice,Fox Pokémon,0.6 m (2′00″),9.9 kg (21.8 lbs),Flash Fire Drought Snow Cloak Snow Warning,037  125  153  037  127  248  160  253  330  037  068  037  125  153  037  127  248  160  253  330  037  068 
Ninetales,038,Fire Ice Fairy,Fox Pokémon,1.1 m (3′07″),19.9 kg (43.9 lbs),Flash Fire Drought Snow Cloak Snow Warning,038  126  154  038  128  249  161  254  331  038  069  038  126  154  038  128  249  161  254  331  038  069 
Jigglypuff,039,Normal Fairy,Balloon Pokémon,0.5 m (1′08″),5.5 kg (12.1 lbs),Cute Charm Competitive Friend Guard,039  044  138  039  044  282  120  143  135  168  039 
Wigglytuff,040,Normal Fairy,Balloon Pokémon,1.0 m (3′03″),12.0 kg (26.5 lbs),Cute Charm Competitive Frisk,040  045  139  040  045  283  121  144  136  169  040 
Zubat,041,Poison Flying,Bat Pokémon,0.8 m (2′07″),7.5 kg (16.5 lbs),Inner Focus Infiltrator,041  037  063  041  028  028  037  061  145  065  068  080  041 
Golbat,042,Poison Flying,Bat Pokémon,1.6 m (5′03″),55.0 kg (121.3 lbs),Inner Focus Infiltrator,042  038  064  042  029  029  038  062  146  066  069  081  042 
Oddish,043,Grass Poison,Weed Pokémon,0.5 m (1′08″),5.4 kg (11.9 lbs),Chlorophyll Run Away,043  083  088  043  083  105  091  043  055 
Gloom,044,Grass Poison,Weed Pokémon,0.8 m (2′07″),8.6 kg (19.0 lbs),Chlorophyll Stench,044  084  089  044  084  106  092  044  056 
Vileplume,045,Grass Poison,Flower Pokémon,1.2 m (3′11″),18.6 kg (41.0 lbs),Chlorophyll Effect Spore,045  085  090  045  085  107  093  045  057 
Paras,046,Bug Grass,Mushroom Pokémon,0.3 m (1′00″),5.4 kg (11.9 lbs),Effect Spore Dry Skin Damp,046  070  046  070  147  180  046 
Parasect,047,Bug Grass,Mushroom Pokémon,1.0 m (3′03″),29.5 kg (65.0 lbs),Effect Spore Dry Skin Damp,047  071  047  071  148  181  047 
Venonat,048,Bug Poison,Insect Pokémon,1.0 m (3′03″),30.0 kg (66.1 lbs),Compound Eyes Tinted Lens Run Away,048  108  048  109  048 
Venomoth,049,Bug Poison,Poison Moth Pokémon,1.5 m (4′11″),12.5 kg (27.6 lbs),Shield Dust Tinted Lens Wonder Skin,049  109  049  110  049 
Diglett,050,Ground,Mole Pokémon,0.2 m (0′08″),0.8 kg (1.8 lbs) 1.0 kg (2.2 lbs),Sand Veil Arena Trap Sand Force Sand Veil Tangling Hair Sand Force,050  132  050  134  001  071  085  050  164  050  132  050  134  001  071  085  050  164 
Dugtrio,051,Ground,Mole Pokémon,0.7 m (2′04″),33.3 kg (73.4 lbs) 66.6 kg (146.8 lbs),Sand Veil Arena Trap Sand Force Sand Veil Tangling Hair Sand Force,051  133  051  135  002  072  086  051  165  051  133  051  135  002  072  086  051  165 
Meowth,052,Normal Dark Steel,Scratch Cat Pokémon,0.4 m (1′04″),4.2 kg (9.3 lbs),Pickup Technician Unnerve Pickup Technician Rattled Pickup Tough Claws Unnerve,052  136  052  138  045  052  052  182  052  136  052  138  045  052  052  182  052  136  052  138  045  052  052  182 
Persian,053,Normal Dark,Classy Cat Pokémon,1.0 m (3′03″) 1.1 m (3′07″),32.0 kg (70.5 lbs) 33.0 kg (72.8 lbs),Limber Technician Unnerve Fur Coat Technician Rattled,053  137  053  139  046  053  053  184  053  137  053  139  046  053  053  184 
Psyduck,054,Water,Duck Pokémon,0.8 m (2′07″),19.6 kg (43.2 lbs),Damp Cloud Nine Swift Swim,054  138  158  054  043  043  140  028  059  165  089  107  054 
Golduck,055,Water,Duck Pokémon,1.7 m (5′07″),76.6 kg (168.9 lbs),Damp Cloud Nine Swift Swim,055  139  159  055  044  044  141  029  060  166  090  108  055 
Mankey,056,Fighting,Pig Monkey Pokémon,0.5 m (1′08″),28.0 kg (61.7 lbs),Vital Spirit Anger Point Defiant,056  134  056  136  079  093  056 
Primeape,057,Fighting,Pig Monkey Pokémon,1.0 m (3′03″),32.0 kg (70.5 lbs),Vital Spirit Anger Point Defiant,057  135  057  137  080  094  057 
Growlithe,058,Fire,Puppy Pokémon,0.7 m (2′04″),19.0 kg (41.9 lbs),Intimidate Flash Fire Justified,058  127  058  129  051  052  064  058  070 
Arcanine,059,Fire,Legendary Pokémon,1.9 m (6′03″),155.0 kg (341.7 lbs),Intimidate Flash Fire Justified,059  128  059  130  052  053  065  059  071 
Poliwag,060,Water,Tadpole Pokémon,0.6 m (2′00″),12.4 kg (27.3 lbs),Water Absorb Damp Swift Swim,060  072  060  072  033  149  182  060 
Poliwhirl,061,Water,Tadpole Pokémon,1.0 m (3′03″),20.0 kg (44.1 lbs),Water Absorb Damp Swift Swim,061  073  061  073  034  150  183  061 
Poliwrath,062,Water Fighting,Tadpole Pokémon,1.3 m (4′03″),54.0 kg (119.0 lbs),Water Absorb Damp Swift Swim,062  074  062  074  035  151  184  062 
Abra,063,Psychic,Psi Pokémon,0.9 m (2′11″),19.5 kg (43.0 lbs),Synchronize Inner Focus Magic Guard,063  089  039  063  020  020  089  102  040  042  049  063 
Kadabra,064,Psychic,Psi Pokémon,1.3 m (4′03″),56.5 kg (124.6 lbs),Synchronize Inner Focus Magic Guard,064  090  040  064  021  021  090  103  041  043  050  064 
Alakazam,065,Psychic,Psi Pokémon,1.5 m (4′11″) 1.2 m (3′11″),48.0 kg (105.8 lbs),Synchronize Inner Focus Magic Guard Trace,065  091  041  065  022  022  091  104  042  044  051  065  065  091  041  065  022  022  091  104  042  044  051  065 
Machop,066,Fighting,Superpower Pokémon,0.8 m (2′07″),19.5 kg (43.0 lbs),Guts No Guard Steadfast,066  140  073  066  040  040  142  057  075  095  117  066  138 
Machoke,067,Fighting,Superpower Pokémon,1.5 m (4′11″),70.5 kg (155.4 lbs),Guts No Guard Steadfast,067  141  074  067  041  041  143  058  076  096  118  067  139 
Machamp,068,Fighting,Superpower Pokémon,1.6 m (5′03″),130.0 kg (286.6 lbs),Guts No Guard Steadfast,068  142  075  068  042  042  144  059  077  097  119  068  140 
Bellsprout,069,Grass Poison,Flower Pokémon,0.7 m (2′04″),4.0 kg (8.8 lbs),Chlorophyll Gluttony,069  064  069  064  026  069 
Weepinbell,070,Grass Poison,Flycatcher Pokémon,1.0 m (3′03″),6.4 kg (14.1 lbs),Chlorophyll Gluttony,070  065  070  065  027  070 
Victreebel,071,Grass Poison,Flycatcher Pokémon,1.7 m (5′07″),15.5 kg (34.2 lbs),Chlorophyll Gluttony,071  066  071  066  028  071 
Tentacool,072,Water Poison,Jellyfish Pokémon,0.9 m (2′11″),45.5 kg (100.3 lbs),Clear Body Liquid Ooze Rain Dish,072  162  066  072  136  136  164  025  068  106  129  072 
Tentacruel,073,Water Poison,Jellyfish Pokémon,1.6 m (5′03″),55.0 kg (121.3 lbs),Clear Body Liquid Ooze Rain Dish,073  163  067  073  137  137  165  026  069  107  130  073 
Geodude,074,Rock Ground Rock Electric,Rock Pokémon,0.4 m (1′04″),20.0 kg (44.1 lbs) 20.3 kg (44.8 lbs),Rock Head Sturdy Sand Veil Magnet Pull Sturdy Galvanize,074  034  057  074  031  031  034  009  058  229  298  074  074  034  057  074  031  031  034  009  058  229  298  074 
Graveler,075,Rock Ground Rock Electric,Rock Pokémon,1.0 m (3′03″),105.0 kg (231.5 lbs) 110.0 kg (242.5 lbs),Rock Head Sturdy Sand Veil Magnet Pull Sturdy Galvanize,075  035  058  075  032  032  035  010  059  230  299  075  075  035  058  075  032  032  035  010  059  230  299  075 
Golem,076,Rock Ground Rock Electric,Megaton Pokémon,1.4 m (4′07″) 1.7 m (5′07″),300.0 kg (661.4 lbs) 316.0 kg (696.7 lbs),Rock Head Sturdy Sand Veil Magnet Pull Sturdy Galvanize,076  036  059  076  033  033  036  011  060  231  300  076  076  036  059  076  033  033  036  011  060  231  300  076 
Ponyta,077,Fire Psychic,Fire Horse Pokémon Unique Horn Pokémon,1.0 m (3′03″) 0.8 m (2′07″),30.0 kg (66.1 lbs) 24.0 kg (52.9 lbs),Run Away Flash Fire Flame Body Run Away Pastel Veil Anticipation,077  201  077  090  090  206  077  333  077  201  077  090  090  206  077  333 
Rapidash,078,Fire Psychic Fairy,Fire Horse Pokémon Unique Horn Pokémon,1.7 m (5′07″),95.0 kg (209.4 lbs) 80.0 kg (176.4 lbs),Run Away Flash Fire Flame Body Run Away Pastel Veil Anticipation,078  202  078  091  091  207  078  334  078  202  078  091  091  207  078  334 
Slowpoke,079,Water Psychic,Dopey Pokémon,1.2 m (3′11″),36.0 kg (79.4 lbs),Oblivious Own Tempo Regenerator,079  080  079  080  133  037  044  079 
Slowbro,080,Water Psychic Water Psychic,Hermit Crab Pokémon,1.6 m (5′03″) 2.0 m (6′07″),78.5 kg (173.1 lbs) 120.0 kg (264.6 lbs),Oblivious Own Tempo Regenerator Shell Armor,080  081  080  081  134  038  045  080  080  081  080  081  134  038  045  080 
Magnemite,081,Electric Steel,Magnet Pokémon,0.3 m (1′00″),6.0 kg (13.2 lbs),Magnet Pull Sturdy Analytic,081  118  082  081  178  119  048  069  084  047  054  081 
Magneton,082,Electric Steel,Magnet Pokémon,1.0 m (3′03″),60.0 kg (132.3 lbs),Magnet Pull Sturdy Analytic,082  119  083  082  179  120  049  070  085  048  055  082 
Farfetch'd,083,Normal Flying Fighting,Wild Duck Pokémon,0.8 m (2′07″),15.0 kg (33.1 lbs) 42.0 kg (92.6 lbs),Keen Eye Inner Focus Defiant Steadfast Scrappy,083  158  083  160  061  083  218  083  158  083  160  061  083  218 
Doduo,084,Normal Flying,Twin Bird Pokémon,1.4 m (4′07″),39.2 kg (86.4 lbs),Run Away Early Bird Tangled Feet,084  199  092  084  204  094  095  084 
Dodrio,085,Normal Flying,Triple Bird Pokémon,1.8 m (5′11″),85.2 kg (187.8 lbs),Run Away Early Bird Tangled Feet,085  200  093  085  205  095  096  085 
Seel,086,Water,Sea Lion Pokémon,1.1 m (3′07″),90.0 kg (198.4 lbs),Thick Fat Hydration Ice Body,086  176  086  178  265  115  086 
Dewgong,087,Water Ice,Sea Lion Pokémon,1.7 m (5′07″),120.0 kg (264.6 lbs),Thick Fat Hydration Ice Body,087  177  087  179  266  116  087 
Grimer,088,Poison,Sludge Pokémon,0.9 m (2′11″) 0.7 m (2′04″),30.0 kg (66.1 lbs) 42.0 kg (92.6 lbs),Stench Sticky Hold Poison Touch Poison Touch Gluttony Power of Alchemy,088  116  106  088  117  064  111  050  057  088  088  116  106  088  117  064  111  050  057  088 
Muk,089,Poison,Sludge Pokémon,1.2 m (3′11″) 1.0 m (3′03″),30.0 kg (66.1 lbs) 52.0 kg (114.6 lbs),Stench Sticky Hold Poison Touch Poison Touch Gluttony Power of Alchemy,089  117  107  089  118  065  112  051  058  089  089  117  107  089  118  065  112  051  058  089 
Shellder,090,Water,Bivalve Pokémon,0.3 m (1′00″),4.0 kg (8.8 lbs),Shell Armor Skill Link Overcoat,090  169  090  171  036  115  138  090  150 
Cloyster,091,Water Ice,Bivalve Pokémon,1.5 m (4′11″),132.5 kg (292.1 lbs),Shell Armor Skill Link Overcoat,091  170  091  172  037  116  139  091  151 
Gastly,092,Ghost Poison,Gas Pokémon,1.3 m (4′03″),0.1 kg (0.2 lbs),Levitate,092  058  092  069  069  058  030  061  073  092  141 
Haunter,093,Ghost Poison,Gas Pokémon,1.6 m (5′03″),0.1 kg (0.2 lbs),Levitate,093  059  093  070  070  059  031  062  074  093  142 
Gengar,094,Ghost Poison Ghost Poison,Shadow Pokémon,1.5 m (4′11″) 1.4 m (4′07″),40.5 kg (89.3 lbs),Cursed Body Shadow Tag,094  060  094  071  071  060  032  063  075  094  143  094  060  094  071  071  060  032  063  075  094  143 
Onix,095,Rock Ground,Rock Snake Pokémon,8.8 m (28′10″),210.0 kg (463.0 lbs),Rock Head Sturdy Weak Armor,095  062  095  034  034  062  071  053  095  178 
Drowzee,096,Psychic,Hypnosis Pokémon,1.0 m (3′03″),32.4 kg (71.4 lbs),Insomnia Forewarn Inner Focus,096  087  096  087  054  066  096 
Hypno,097,Psychic,Hypnosis Pokémon,1.6 m (5′03″),75.6 kg (166.7 lbs),Insomnia Forewarn Inner Focus,097  088  097  088  055  067  097 
Krabby,098,Water,River Crab Pokémon,0.4 m (1′04″),6.5 kg (14.3 lbs),Hyper Cutter Shell Armor Sheer Force,098  164  098  166  098  098 
Kingler,099,Water,Pincer Pokémon,1.3 m (4′03″),60.0 kg (132.3 lbs),Hyper Cutter Shell Armor Sheer Force,099  165  099  167  099  099 
Voltorb,100,Electric,Ball Pokémon,0.5 m (1′08″),10.4 kg (22.9 lbs),Soundproof Static Aftermath,100  120  084  100  121  072  087  100 
Electrode,101,Electric,Ball Pokémon,1.2 m (3′11″),66.6 kg (146.8 lbs),Soundproof Static Aftermath,101  121  085  101  122  073  088  101 
Exeggcute,102,Grass Psychic,Egg Pokémon,0.4 m (1′04″),2.5 kg (5.5 lbs),Chlorophyll Harvest,102  104  102  105  136  269  355  102 
Exeggutor,103,Grass Psychic Grass Dragon,Coconut Pokémon,2.0 m (6′07″) 10.9 m (35′09″),120.0 kg (264.6 lbs) 415.6 kg (916.2 lbs),Chlorophyll Harvest Frisk Harvest,103  105  103  106  137  270  356  103  103  105  103  106  137  270  356  103 
Cubone,104,Ground,Lonely Pokémon,0.4 m (1′04″),6.5 kg (14.3 lbs),Rock Head Lightning Rod Battle Armor,104  203  104  208  060  163  197  104 
Marowak,105,Ground Fire Ghost,Bone Keeper Pokémon,1.0 m (3′03″),45.0 kg (99.2 lbs) 34.0 kg (75.0 lbs),Rock Head Lightning Rod Battle Armor Cursed Body Lightning Rod Rock Head,105  204  105  209  061  164  198  105  105  204  105  209  061  164  198  105 
Hitmonlee,106,Fighting,Kicking Pokémon,1.5 m (4′11″),49.8 kg (109.8 lbs),Limber Reckless Unburden,106  144  106  146  106  108 
Hitmonchan,107,Fighting,Punching Pokémon,1.4 m (4′07″),50.2 kg (110.7 lbs),Keen Eye Iron Fist Inner Focus,107  145  107  147  107  109 
Lickitung,108,Normal,Licking Pokémon,1.2 m (3′11″),65.5 kg (144.4 lbs),Own Tempo Oblivious Cloud Nine,108  178  108  161  180  284  134  375  108 
Koffing,109,Poison,Poison Gas Pokémon,0.6 m (2′00″),1.0 kg (2.2 lbs),Levitate,109  114  108  109  115  046  113  109  250 
Weezing,110,Poison,Poison Gas Pokémon,1.2 m (3′11″) 3.0 m (9′10″),9.5 kg (20.9 lbs) 16.0 kg (35.3 lbs),Levitate,110  115  109  110  116  047  114  110  251  110  115  109  110  116  047  114  110  251 
Rhyhorn,111,Ground Rock,Spikes Pokémon,1.0 m (3′03″),115.0 kg (253.5 lbs),Lightning Rod Rock Head Reckless,111  206  169  111  186  211  050  176  111  264 
Rhydon,112,Ground Rock,Drill Pokémon,1.9 m (6′03″),120.0 kg (264.6 lbs),Lightning Rod Rock Head Reckless,112  207  170  112  187  212  051  177  112  265 
Chansey,113,Normal,Egg Pokémon,1.1 m (3′07″),34.6 kg (76.3 lbs),Natural Cure Serene Grace Healer,113  217  113  097  097  222  033  040  113 
Tangela,114,Grass,Vine Pokémon,1.0 m (3′03″),35.0 kg (77.2 lbs),Chlorophyll Leaf Guard Regenerator,114  179  114  181  182  217  114 
Kangaskhan,115,Normal,Parent Pokémon,2.2 m (7′03″),80.0 kg (176.4 lbs) 100.0 kg (220.5 lbs),Early Bird Scrappy Inner Focus Parental Bond,115  205  115  210  062  165  199  115  115  205  115  210  062  165  199  115 
Horsea,116,Water,Dragon Pokémon,0.4 m (1′04″),8.0 kg (17.6 lbs),Swift Swim Sniper Damp,116  186  184  116  190  039  193  116 
Seadra,117,Water,Dragon Pokémon,1.2 m (3′11″),25.0 kg (55.1 lbs),Poison Point Sniper Damp,117  187  185  117  191  040  194  117 
Goldeen,118,Water,Goldfish Pokémon,0.6 m (2′00″),15.0 kg (33.1 lbs),Swift Swim Water Veil Lightning Rod,118  078  050  118  078  078  078  053  051  153  186  118  146 
Seaking,119,Water,Goldfish Pokémon,1.3 m (4′03″),39.0 kg (86.0 lbs),Swift Swim Water Veil Lightning Rod,119  079  051  119  079  079  079  054  052  154  187  119  147 
Staryu,120,Water,Star Shape Pokémon,0.8 m (2′07″),34.5 kg (76.1 lbs),Illuminate Natural Cure Analytic,120  167  143  120  169  238  034  148  184  223  120 
Starmie,121,Water Psychic,Mysterious Pokémon,1.1 m (3′07″),80.0 kg (176.4 lbs),Illuminate Natural Cure Analytic,121  168  144  121  170  239  035  149  185  224  121 
Mr. Mime,122,Psychic Fairy Psychic Ice,Barrier Pokémon Dancing Pokémon,1.3 m (4′03″) 1.4 m (4′07″),54.5 kg (120.2 lbs) 56.8 kg (125.2 lbs),Soundproof Filter Technician Vital Spirit Screen Cleaner Ice Body,122  156  122  095  095  158  114  060  122  365  122  156  122  095  095  158  114  060  122  365 
Scyther,123,Bug Flying,Mantis Pokémon,1.5 m (4′11″),56.0 kg (123.5 lbs),Swarm Technician Steadfast,123  110  123  195  111  136  275  365  123 
Jynx,124,Ice Psychic,Human Shape Pokémon,1.4 m (4′07″),40.6 kg (89.5 lbs),Oblivious Forewarn Dry Skin,124  153  124  155  084  110  124 
Electabuzz,125,Electric,Electric Pokémon,1.1 m (3′07″),30.0 kg (66.1 lbs),Static Vital Spirit,125  155  125  198  157  057  227  296  125 
Magmar,126,Fire,Spitfire Pokémon,1.3 m (4′03″),44.5 kg (98.1 lbs),Flame Body Vital Spirit,126  151  126  201  153  054  167  201  126 
Pinsir,127,Bug,Stag Beetle Pokémon,1.5 m (4′11″) 1.7 m (5′07″),55.0 kg (121.3 lbs) 59.0 kg (130.1 lbs),Hyper Cutter Mold Breaker Moxie Aerilate,127  112  167  127  113  146  130  174  175  211  127  127  112  167  127  113  146  130  174  175  211  127 
Tauros,128,Normal,Wild Bull Pokémon,1.4 m (4′07″),88.4 kg (194.9 lbs),Intimidate Anger Point Sheer Force,128  148  128  150  125  137  170  128 
Magikarp,129,Water,Fish Pokémon,0.9 m (2′11″),10.0 kg (22.0 lbs),Swift Swim Rattled,129  076  052  129  023  023  076  049  053  091  111  129  144 
Gyarados,130,Water Flying Water Dark,Atrocious Pokémon,6.5 m (21′04″),235.0 kg (518.1 lbs) 305.0 kg (672.4 lbs),Intimidate Moxie Mold Breaker,130  077  053  130  024  024  077  050  054  092  112  130  145  130  077  053  130  024  024  077  050  054  092  112  130  145 
Lapras,131,Water Ice,Transport Pokémon,2.5 m (8′02″),220.0 kg (485.0 lbs),Water Absorb Shell Armor Hydration,131  219  131  224  242  150  268  353  131  361 
Ditto,132,Normal,Transform Pokémon,0.3 m (1′00″),4.0 kg (8.8 lbs),Limber Imposter,132  092  132  092  261  138  209  271  132  373 
Eevee,133,Normal,Evolution Pokémon,0.3 m (1′00″),6.5 kg (14.3 lbs),Run Away Adaptability Anticipation,133  180  133  163  184  091  077  123  153  133  196  133  180  133  163  184  091  077  123  153  133  196 
Vaporeon,134,Water,Bubble Jet Pokémon,1.0 m (3′03″),29.0 kg (63.9 lbs),Water Absorb Hydration,134  181  134  164  185  092  078  124  154  134  197 
Jolteon,135,Electric,Lightning Pokémon,0.8 m (2′07″),24.5 kg (54.0 lbs),Volt Absorb Quick Feet,135  182  135  165  186  093  079  125  155  135  198 
Flareon,136,Fire,Flame Pokémon,0.9 m (2′11″),25.0 kg (55.1 lbs),Flash Fire Guts,136  183  136  166  187  094  080  126  156  136  199 
Porygon,137,Normal,Virtual Pokémon,0.8 m (2′07″),36.5 kg (80.5 lbs),Trace Download Analytic,137  215  137  192  220  217  281  137 
Omanyte,138,Rock Water,Spiral Pokémon,0.4 m (1′04″),7.5 kg (16.5 lbs),Swift Swim Shell Armor Weak Armor,138  220  138  225  227  138 
Omastar,139,Rock Water,Spiral Pokémon,1.0 m (3′03″),35.0 kg (77.2 lbs),Swift Swim Shell Armor Weak Armor,139  221  139  226  228  139 
Kabuto,140,Rock Water,Shellfish Pokémon,0.5 m (1′08″),11.5 kg (25.4 lbs),Swift Swim Battle Armor Weak Armor,140  222  140  227  229  140 
Kabutops,141,Rock Water,Shellfish Pokémon,1.3 m (4′03″),40.5 kg (89.3 lbs),Swift Swim Battle Armor Weak Armor,141  223  141  228  230  141 
Aerodactyl,142,Rock Flying Rock Flying,Fossil Pokémon,1.8 m (5′11″) 2.1 m (6′11″),59.0 kg (130.1 lbs) 79.0 kg (174.2 lbs),Rock Head Pressure Unnerve Tough Claws,142  224  142  229  068  284  382  142  142  224  142  229  068  284  382  142 
Snorlax,143,Normal,Sleeping Pokémon,2.1 m (6′11″),460.0 kg (1014.1 lbs),Immunity Thick Fat Gluttony,143  225  143  113  113  230  139  036  043  143  261 
